,text
25836,Team of  rescued baby Zehra from the rubble of a collapsed building in          
25837,"I got featured in this EP, and I am proud of what it sounds like. Check me out on track 5.👇            "
25838,"Pray for Turkey and Syria and other countries affected by the Earthquake.""May god have mercy on us""    "
25839, ( M3.7 strikes 41 km E of  ( 10 min ago. More info: 
25840,There is an incredible mobilization and sacrifice in Turkey right now. I cannot express my emotions for this benevolence I hope we will get through it as soon as possible with the least damage.   
25841,What an international embarrassment for Pakistan he proves himself to be every time 😐.  
25842,Here's the info on how you can donate urgent needs for   through  
25843,"Dear  please donate to Ahbap if you can. In addition to donating, please please ask your Turkish students/colleagues how they are, how they feel, &amp; whether they need any support! Reach out to anyone who you think might be affected by this disaster! "
25844,  Prediction was accurate. My deepest sympathies to the people of the region affected by 
25845,A baby has been rescued in Gaziantep.         
25846,Thank God 
25847," ""We announced it before, but unfortunately the family lost their lives because no one went! But there are still living people, I beg at least they will be saved!!!!!!"" 😔🖤   "
25848,"During the Great Hunger in Éire, Türkiye were one of the only countries who provided money, food and famine aid during our time of need.Now, if you're able to, it's time for the Irish to help the Turkish people.🇹🇷🇮🇪 "
25849,"China on Tuesday announced its first batch of 40 million yuan ($5.9 million) of emergency assistance to Turkey, and that it would dispatch rescue teams to help save lives and provide assistance to Syria.  "
25850,Humanitarian Crisis in Turkey/Syria is heartbreaking. Let us pray to The Lord. Lord in your mercy! 🙏🏽   
25851, ( M3.2 strikes 33 km S of  ( 6 min ago. More info: 
25852,Prayers are with the Turkish people .. GOD be with everyone out there !  
25853,we are losing our families but the world is quiet     
25854,Stop funding  and start sending help to    
25855, ( M3.1 strikes 8 km E of  ( 12 min ago. More info: 
25856,"People in here barely have food, water, clothes etc. It is a very serious and crucial issue. Please realize the seriousness of this situation. Don't remain silent in our call for help and donate as much as you can. Donation 🔗 "
25857,"These poor people. My heart is breaking for them right now 💔'Dad is here, don't be scared'    "
25858,ya allah have mercy on us      
25859,"🔴Breaking News After the earthquake that took place in Turkey, the Turkish people are rendering extraordinary aid to those in distress. We can get through these bad days only when we are together.The video was shot in the capital Ankara❤️   "
25860,"One of our pediatric pulmonary fellows is from Turkey- I cannot imagine the fear, loss, destruction. Please consider supporting this relief fund.  "
25861,"It can't be repeated enough. The people of  and  need help. The death toll is racing up toward 10,000. Donate here:AKUT Research and Rescue Association:    "
25862,Thank God Israel started rescue 🙏❤️Search and rescue units from Israel started their work on the debris in the  region.
25863,Quote: need help  !  
25864,The first group of the China rescue team is rushing to  We are living in a community with a shared future for mankind! 
25865,"It hurts so much to see.those lil angels in pain. 💔Lord, please save them. 😭"
25866," I am very relieved that you are somewhat safe &amp; well,I was thinking about you,I will keep praying,my heart breaks for your country &amp; surrounding counties that have been impacted, god bless you all &amp; keep you all safe🙏💔 😢Xxx   "
25867,Thanks  for those in-depth and very moving interviews re the devastation and suffering after the earthquakes in Türkiye and Syria.   
25868,"  The timing of the first major earthquake was the absolute worst, while most were home, asleep."
25869,I'm not buying this earthquake it's not a mother earth it's  for sure i hope  take this  seriously these guys are demonic 🙂  
25870," The Death toll in the Turkey-Syria quake has surpassed 7,500 as the numbers are expected to rise exponentially; search crews from around the world have begun arriving.      📷 Burak Kara/Getty "
25871,Silent is a violation when the world shows solidarity to  and  where is your humanity when millions of Healthcare were destroyed in  plus No medicine at the Hospital of Tigray?   
25872,The different strong earthquakes over magnitude 7.5 weakened the buildings built according to earthquake regulations and the strong aftershocks caused them to collapse.The point is to give people a time advantage to be able to leave the houses    
25873,Fluffy heroes 😍😍 go to your stuff! 
25874, ( M2.6 strikes 25 km S of  ( 8 min ago. More info: 
25875,"Truly the most pressing matter of the day with 8,000 people dead and the death toll rising each day.  "
25876,All DMV locations will be donation drop off sites to support the families suffering following the devastating earthquakes.  
25877,Praying for turkey and syria 🇸🇾 🇹🇷🙏🏽    
25878,Four people were rescued from the rubble of a building 46 hours after the earthquake in        
25879,Team of  rescued baby Zehra from the rubble of a collapsed building in           
25880,An  C-130 is parked next to an  Boeing 737 at  airport in southern  Let's give  a break to   
25881,Rabbi Mendy Chitrik confirmed that two Jews who live in Antakya are still missing after the 
25882,Very heartbreaking. May this never happen again. Our hearts and prayers are with  Stay strong Türkiye.   
25883,"Quoted: are in need of excavators and  machinery to help in removing the debris, all destroyed structures.  Thousands can still b alive.  Time is crucial and temperatures r freezing.Pls share for  "
25884, ( M2.9 strikes 12 km E of  ( 13 min ago. More info: 
25885,.AI isn't real Silly Rabbit. Look at Obama's Programmed Manchurian Prez...It's just learning by trial...The Illuminati thinks they'll be served by AI and we (resource wasters) will be eliminated...      
25886,Please HELP to Turkey!  !
25887,Volunteers coming to Turkey from London     
25888,We need help in Turkey 🇹🇷  
25889, ( M2.5 strikes 26 km S of  ( 7 min ago. More info: 
25890,"Hi Rob, rules dead easy &amp; pinned to the  page. Basically make any print from a photocopy to archive print, any size etc, exchange it for a screengrab of a donation receipt to a charity aiding the  &amp; you sort the P&amp;P shipping with donator."
25891,"The Sehat Card democratises &amp; revolutionalises healthcare. In Oct '21, I was honoured to give a lecture on the Sehat Card at  Watch it here:       "
25892,An  of magnitude 4.8 has just occurred in       
25893,NEWS: 🔶 will donate $100 worth of $BNB to each user impacted by the 7.8 magnitude earthquake in Turkey 🇹🇷                    
25894,“We are on the way to Hatay.”
25895,A Chinese rescue team departed from Beijing for Türkiye on a chartered plane on the afternoon of Feb 7 to join  relief efforts in the country.   
25896,Even people wey no get bank account follow dey shout bank people don kill them 😂😂 anyway I say make I update una say excuse go too much this val🚶😏      
25897,"A simple text/call to your loved ones goes a long way. Depression is real, there’s a lot of pain behind all the laugh &amp; smiles  🙏"
25898,"There are hundreds of people under the rubble in Turkey  International rescue teams,you can use below app to see the list of people and addresses under the rubble. Consider using this useful information to prepare your rescue plan. "
25899,Birce👏🏼♥️   
25900,HELP HELP HELP S. O. S     
25901,World Cup star Christian Atsu pulled alive from Turkey quake rubble 🙏        
25902,They are all …hero’s 🫡 
25903,And these are shop owners who have probably been devastated by inflation and the currency crisis in Turkey. Bless them.   
25904,".""What Happened""...? Oh.. We found out they were Resource Wasters and had to Eliminate them for their own good... Ya..And Uh.. The good of the Human Race.. You know.. The Illuminati...       "
25905,"The moment a Syrian child was rescued, he asked to drink water 💔          "
25906,Trapped but holding his brother tight. 
25907,          I also want to mention that Ukraine 🇺🇦which is in middle of the war is also sending its rescue team to Türkiye 
25908,Turkish goalkeeper tragically dies in earthquake   
25909,It has been 48 hours since the first Earthquake in  Turkish government refuses that but the situation is horrible. There are many survivors under the collapsed building without a single help for 48 hours. (1)  
25910,Heartbreaking images. No one deserves this   
25911,"At 10:30 p.m. today (7th), the second search and rescue team once again assembled 90 people and 2 search and rescue dogs (including 3 doctors, 3 nurses, and 1 veterinarian), carrying about 6.4 tons of equipment.   "
25912,"More than 7,900 people have been killed and tens of thousands injured after a magnitude 7.8 earthquake struck Turkey and Syria           "
25913,10 Ways to Survive an Earthquake   
25914,I beg the whole world.  For God's sake help us!.  We are in a very bad situation.  tens of thousands of people are under rubble.         
25915,Have you seen this child? Nikhita Jagtiani  help find her 👇🏾   
25916,Let's not forget that this country is fighting the war! Here is a great leader who even in the difficult times ready to lend a hand to others 🇺🇦🇹🇷🤝  
25917,Cute baby vote Contest : ✅Name : Vinayashri Age : 2 For vote :              
25918,What does it mean for roads to be impassible?This. This makes it really hard for aid to reach people.
25919, ( M3.5 strikes 18 km NW of  ( 15 min ago. More info: 
25920,Pray 🙏💔
25921,Ya Allah help them 😪🇸🇾🇹🇷😭🙏🏼❤️   
25922," Doctors Without Borders World Central Kitchen These are two of the best, and they have rapid response teams.  "
25923," , turkey did and offered many helps to  But, she didn't allowed  the   through her space, carrying the  material to turkey.What does it mean? "
25924,it breaks my heart over n over again watching those kids that saved by the rescuer.. but those who didnt? may Allah grant u jannah.. 😭😭😭 
25925,Please spread 👇🙏Those who cannot get news from the family can check this list!!Among our citizens who were injured in the earthquake disaster that occurred in many of our provinces were brought to Mersin City Hospital   
25926,"A new video for a new born baby found in the rubble in Turkey, The mother had passed away but the baby survived.       "
25927, please consider aiding people who got impacted by the earthquake in  and   
25928,"In videos: rescuers in tears after saving a 6YO girl but failed to save her sister despite trying hard💔A mama and her 6mnth baby being rescued after 30 hrs under rubble in Miran,4 and his father being rescued after many hrs   "
25929,Good morning 🌄🌞           
25930,We are used to earthquakes in Mexico but trauma never goes away ❤️‍🩹 We will never get used to loosing human lives 😔🖤This is a traumatic experience for the whole world 🙏 🙏 🙏
25931,Have you seen this child? Josefine Parrilla  help find her 👇🏾    
25932,Am happy that they safe we need to pray and send some help to                 
25933,Victory at last🔥🔥🔥🔥     
25934,The  extends its condolences to the People and Government of  🇹🇷following the devastation of the  Our deepest sympathies and prayers for recovery. Signing the book of condolences at the   
25935,bird behavior  Bizarre before the earthquake in  🇹🇷    Earthquake    
25936,"Janti SoeriptoPresident &amp; Chief Executive Officer""Save The Children""    "
25937,🕊️🕊️🕊️🕊️🕊️🕊️🕊️🕊️🕊️🕊️🕊️🕊️… 8000 …. so far … 🥲  
25938,Help the  helpless people.    
25939,An  medical delegation preparing to join  efforts in southern  tomorrow morning. The field hospital that will be set up will provide medical assistance to people from the areas impacted by the  📸IDF 
25940, ( M2.6 strikes 21 km NE of  ( 13 min ago. More info: 
25941,I've chipped in to help the rescue effort following the devastating earthquakes in Syria and  You can chip in here to help too:  
25942,My thoughts and prayers to the families of the victims of the devastating earthquake in Turkey 🇹🇷 and Syria 🇸🇾 🙏🏽❤️❤️    #
25943,"In light of what has happened to her neighbours,  has begun to assess its preparedness for a natural disaster.               "
25944,My Cute sisters          
25945," ""Current"" 🙏❤️‍🩹  Merve, Haydar and their daughters for AdaAKEVLER NEIGHBORHOOD 4.AKEVLER STREET IRAZ APT NO9 ANTAKYASearch and rescue teams are waiting at the deadline at the adressMy access is very limited please support"" "
25946,Amin🙏     
25947," tweeting for people in need after those 2 huge earthquakes. unfortunately that's all i can do. i feel guilty af bcuz i can't do anything more. i just could donate some money i've been saving and that's not also so much. pray for us please, global STAYs ♡ "
25948,"Prayers for victims 😭💔My heart sinks 💔😭Help them , they need us and our prayers 😭🙏🏻    "
25949,"Footballer Christian Atsu has been pulled from the rubble of a building ""with injuries"" after the earthquakes in Turkey, his club's vice-president Mustafa Özat has told Turkish radio.  "
25950,"The first search and rescue team reported for duty to the United Nations International Search and Rescue Team Reception and Evacuation Center (RDC) at 21:00 Taiwan time today (7th), and the RDC will continue to assign rescue tasks.  "
25951,After  Indian Airforce transport aircraft carrying Emergency Relief Assistance has taken off for earthquake affected Consignment consists of life saving medicines &amp; emergency medical items worth USD 17 millions.    
25952,"The little girl said to the rescuer that, sir, if you rescue me and my brother ... we will become your slaves for the rest of our lives 😥  "
25953,I wanna apologize to turkey on the earthquake..my ex tripped and fell 🤷 
25954, A whole family was rescued ALIVE after being trapped 40 hours under the rubble of their destroyed home in northern     
25955,"Smart Twitter people. Are there ""better"" NPOs to donate to for the Turkey and Syria earthquakes than Red Cross?  "
25956, ( M3.1 strikes 31 km NE of  ( 10 min ago. More info: 
25957,This is not freedom of speech. This is just being a cunt  
25958,"""This is an image of Turkish man, holding the hand of his 15-year- old daughter, Irmakleyla, who was crushed by the building after the earthquake struck. He sat with her all night throughout the cold, knowing she had passed away."" 💔❤️‍🩹 "
25959,The  was not preventable but the magnitude of the destruction was. The poor infrastructure and response results from governmental corruption and global inequality. It doesn't have to be this way.     
25960,All my prayers for those affected by the devastating earthquake. Praying for everyone’s safety and good health. May everyone find peace. 
25961,"Our hearts are bleeding with your sufferings, May ya Allah give you the strength to bear this Grief. AmenThe  child Muhammad, who was stuck under the rubble, was rescued by  rescue teams in the city of Hatay.     "
25962,Earthquake and adverse weather is killing Syrians.And U.S. heartless sanctions on  is helping the murder.    
25963,"Greek rescuers tried hard to get a young girl out of the ruble alive. They did not manage. Minutes after, they are rescuing her 6 yrs old sister. And they burst into tears. And then applauding.     "
25964,"7.8 magnitude earthquake hits Turkey.Thousands of people are waiting for help right now, if world-famous actors and actresses support this issue, I'm sure more people will know about it.        "
25965, |   turns cities into gravesKnow chilling aftermath of tremors! |  |  |  
25966,  Find ways to help Syria: 
25967,"UPDATE: Turkey-Syria earthquake death toll rises to 8,394; over 38,985 injured       "
25968,"Salute to all the Indian soldiers of   and the teams of   who had landed in the  region for providing assistance.This is a great gesture. Sending strength, support to  and Syria.    "
25969," | Turkey-Syria Earthquake LIVE Updates: Death Toll Nears 8,000; Bad Weather Conditions Hamper Rescue Efforts and other top stories    "
25970,"Hopefully, the word help the people of Turkey and Syria.  Catastrophic damages. Many lives can be saved if the world help now!   "
25971," | Anushka Sharma, Kareena Kapoor, Alia Bhatt express grief at loss of life and devastation |  |  |  |  "
25973," : India 🇮🇳 sent second batch of relief materials to  . 2 Indian Airforce aircrafts carrying an Indian Army field hospital for a 30 bedded medical facility &amp; medicines worth USD 8 millions have sent to Adana, Türkiye.   "
25974,Personal messages like this one that give location and cries for help are pouring into people’s social media accounts. Please push these messages with locations out to international search teams. Tag them.     
25975,Are there any crane operators living in Hatay? 12 cranes are ready for use but there is no operator to use them. Tel: 0 531 2504745 Alper Çalık Can you guys help for the operator? If anyone has knowledge?   
25976,This is heartbreaking.  
25977,💔 A 7-year-old girl kept her hand on her little brother's head to keep him safe while they were buried in debris for 17 hrs…They got out alive.  says the earthquake has affected 23M ppl. Death toll is 8000 &amp; only rising   
25978,Cashapp method  on telegram           
25979,"Updated casualty figures:10000 dead, 38,897 injured4595 dead, 6.182 injuredFollow       #"
25980,"Turkey previously experienced some of the worst Earthquakes in the past that claimed thousands of lives. Then why have they not learned from those past nightmares, they should have reinforced their infrastructures to minimise at least a catastrophic death toll. "
25981,"Emergency responders desperately tried to dig out people trapped under the rubble in Turkey, as aftershocks continued to rock the region "
25982, ( M2.8 strikes 19 km SE of  ( 7 min ago. More info: 
25983, ( M3.0 strikes 21 km E of  ( 15 min ago. More info: 
25984,"After contacting the Ministry of Foreign Affairs, it was confirmed that my country should rush to Turkey for disaster relief, and immediately dispatch Taiwan’s international search and rescue team. Go to the rescue.  "
25985,Pray for 
25986,"You are not alone,  10 million people are with you! All these are collected for you! Stay strong! We will overcome these tragic days together 🇦🇿🇹🇷       "
25987,"If you’re the homeowner, the process is called FSBO (for sale by owner). There are a variety of ways to do it      "
25988,Pray for turkey 😥🤲                
25989,A beautiful baby pulled from the wreckage but no sign of the parents…A miracle…but not nearly enough.                 🙏🏻🙏🏻🙏🏻   
25990,Hatay/ Samandag-Antakya   We need medicines in child dose 🙏❤️‍🩹Dm via IG to tmocubey 
25991,"🇪🇺🇦🇹 and it gets worse -   this is most disgusting  punishable in AT, isn't that            "
25992,SAMARITAN’S PURSE TO DEPLOY AN EMERGENCY FIELD HOSPITAL AND CRITICAL AID TO TURKEY AFTER DEVASTATING EARTHQUAKES.    
25993,"A magnitude 7.8 earthquake that rocked Turkey and Syria has left more than 7,700 people dead and tens of thousands wounded, according to multiple reports   "
25994, ( M2.9 strikes 7 km NW of  ( 17 min ago. More info: 
25995,"I am sure you have heard of the devastating earthquakes in Turkey, with thousands of casualtiesexpected. The weather conditions are terrible. They need shelters but during this period the urgent need proper supplements to keep their immunity system strong.  "
25996,Terrifying: How can she even thought like that!!        
25997,      This girl is protecting his little brother. My heart sinks when I see pictures. More than 5000 people are now confirmed as dead. NDRF team from India already reached there for rescue. Prayers for  
25998,  They say it will be ten times more...  
25999,Fuck these celebrities who stayed silent during turkeys situation. For every white Christian culture they show their prays but for Muslim countries they’re always silent. Fuck you.        
26000,Will China spying in  over the help of  Govt of  can identify this? It's need to keep your agencies on alert wherever Chinese Assistant Available in Everywhere.  
26001,Once upon a time a knew it as a 'natural' disaster.Today it feels like it has been purposely triggered...    
26002,Donation links of organizations you can help ➡️   ➡️  ➡️      
26003,"The best rescuers in the world are already on their way to Turkey, experts in earthquakes, they know how to get people out of the most incredible rubble places!!        "
26005,"Rescuers dig through rubble as Turkey-Syria quake death toll passes 7,800Death toll of 5,894 in Turkey, over 1,900 in SyriaNearly 6,000 buildings destroyed in Turkey: agency.Quake is biggest recorded worldwide since August 2021."
26006,"BABY'S CRYING SOUNDS 🙏❤️‍🩹    AKEVLER NEIGHBORHOOD 4.AKEVLER STREET IRAZ APARTMENTmother Merve Mursaloglufather Haydar Mursaloglu2,5 years old baby Ada Mursaloglu "
26007,Horrible situation in 7 years old girl kept her hand on her little brother's head to protect him while they were under rubble for 17 hours after the earthquake in turkey.      
26008," my hero, my holy and lodi    "
26009, ( M3.5 strikes 23 km E of  ( 8 min ago. More info: 
26010,"Heartbreaking picture from  as we see a father holding his daughter’s hand as she is under the rubbles. Is this what humanity has come to?! When will this stop?! Ya Allah, the suffering of our people is never ending.   "
26011,Paribu is organising a disaster support plan with Needs Map and Afet Platformu (disaster platform) to help the victims of  get through this difficult time. 🙏Read how you can help: 
26012, team is heading to  zone 
26013,"Did U.S. actually CAUSE earthquakes in Syria &amp; Turkey?💣 There are reports that a ""small nuclear bomb"" was exploded at U.S.  Air Base near  southern   #🧵 "
26014,🙏🙏Pray for Turkey 
26015,  in         Syrians under the rubbles in destress 🆘🚨🆘🚨   
26016,🚨 DONATE FOR TURKIYE !!!!!! So many lives have been lost and so many are still fighting for their lives under ruins. Turkiye need your help. 200 tl = $10.62 USD PLEASE SHARE TO REACH MORE HELP!      
26017,This Land Does Not LoveHaiku from Writing Me Up 
26018,"Copernicus's Emergency team has produced thematic map of affected areas in Islahiye, Gaziantep from post-satellite imagery from  by means of visual interoperation.    "
26019,What a hero ❤️❤️Rescue dog without sleep for 30 hours  
26020,"Instead of Vandalizing banks,why not turn it to Nationwide short down, no movement, as we do am for  make all those politicians stay their house, no movement. Let's see if them no go bring everything down     "
26021,   Very thoughtful to offer help at this juncture while  has devastated lives for hundreds of thousands.
26022,"Death toll in Turkey &amp; Syria earthquake crosses 8,000; India sends two batches of relief material along with  search, and rescue teams to Turkey          "
26023, ( M3.4 strikes 4 km NE of  ( 8 min ago. More info: 
26024,   The key cause for this catastrophe  is drying up of river Euphrates    
26025,Bela ve Musibetler  
26026,"Condolences to the bereaved families of Turkey and Syria.  May God heal the injured as soon as possible.  Politics aside, it's time to pray for Turkey and Syria."
26027,"Zeliha Hisir tried to speak, but could barely move after her hourslong rescue Tuesday near the epicenter of a powerful earthquake that has devastated parts of Turkey and Syria"
26028,Stay Blessed 🍀             
26029,"If you have the means, please help  (Poster sent by a Turkish colleague, so it's reliable)    "
26030,"The death toll of a devastating earthquake in southern  and Syria jumped to more than 7,800 people on Tuesday as rescuers worked against time to dig survivors out of the rubble of collapsed buildings. |  | "
26031,"THANK YOU""Israeli search and rescue and emergency aid teams continue to come to Turkey in groups to reach the  region."""
26032," death toll surpasses 7,700-mark |  |  |  |  |  (Source: ANI) "
26033,Cristiano Ronaldo and Merih Demiral are auctioning this signed Ronaldo shirt and all proceeds from the auction will be used to help victims of the earthquake in Turkey 🇹🇷 and Syria 🇸🇾 👏      
26034,please help spreading this carrd too as it has most of the information for both turkey and syria!!   
26035,JUST IN:  in  is about to collapse due to cracks after the  It’s the 3rd largest dam in the entire world!Follow  for more updates      
26036," | As per The Associated Press so far 7,700 people have been killed due to powerful earthquakes in Turkey &amp; Syria. Death toll continues to rise amid widespread devastation.(ANI)"
26037,Victony ft Tempoe - Soweto live via                  
26038,"The death toll of a devastating earthquake in southern Turkey and Syria jumped to more than 7,800 people, 5,894 in Turkey, over 1,900 in Syria - Reuters   "
26039," death toll surpasses 7,700-mark.Please Pray for Syria &amp; Turkey.🙏        (Source: ANI) "
26040,"May Allah protect and give strength to the people of Turkey and Syria during this time of crisis. ""Indeed we belong to Allah, and indeed to Him we will return.""      "
26041,Visual of Israeli aid aircraft parked right next to the Iranian aircraft in Ankara airport Türkiye       
26042,🇹🇷Turkey needs your prayers🙏🏾
26043,Harrowing notes from a doctor in the  zone.   
26044,Cracks in the   caused by several major quakes. This could cause catastrophic flooding if it gives.Follow   for more updates     
26045,Thoughts and prayers go out to those affected by the devastating  Let's come together and support those in need during these trying times. 💔    
26046,Well said sir we believe in  World is one familyBut don't mean everyone has the same belief... We need to differentiate btwn our friends and enemies.      
26047,"My God, what a little fighter she's going to be😍 "
26048,There is Always Hope 🙏🏻♥️         
26049,"Turkey-Syria Earthquake: For more than 29 hours, the rescue workers of White Helmets, exhausted but mentally undefeated, continue to pull out lives trapped underneath the mound of rubble as search and rescue efforts continue  "
26050,"The devastation is shocking. Stay safe as you cover this story, Chris. "
26051,German rescue dogs arrive in Turkey to help search for survivors  via  - Thank you  
26052,   thoughts n prayers with those who lost loved ones! I’m still waiting for someone to do something about my Feedback response - coming to over 3 weeks now!
26053, please send some visuals of your claim of being in Turkey from the first hours. People want to support your campaign. Journalist and locals can’t see you on ground.   
26054,"Overwhelmed rescuers struggled to save people trapped under the rubble as the death toll from a devastating  in  and  approached 5,000 on Tuesday.  "
26055, ( M2.7 strikes 29 km SE of  ( 6 min ago. More info: 
26056, ( M3.4 strikes 31 km W of  ( 12 min ago. More info: 
26057,Los Angeles firefighters to join rescue efforts in Turkey and Syria after massive quake | National |  - 165 Americans aid   
26058,"Turkey-Syria earthquake: Rescue workers struggle to reach survivors as death toll rises to over 7,800 |  "
26059,There is hope❤️  
26060,"🚨 Please, help Our country has been hit by devastating earthquakes reaching magnitudes of 7.7.You can find information for donations below.    "
26061,"So far, a total of 7,700 people have died following the powerful earthquakes that struck Turkey and Syria.    "
26062,"Miracle!❤️👏🏼After 37 hours, a 5-year-old girl was rescued from the rubble in  "
26064, ( M2.6 strikes 12 km NE of  ( 6 min ago. More info: 
26065,Pray for       
26067,Cypriot students stuck in Adiyaman Isias Hotel ... Now around 24 hours already passed ... help to our children 
26068, That's so disheartening to hear. Pray for them🙏 
26069,"It was a Terrible Tragedy For all Turkish and Syrian people, I pray that a large number of people will be rescue. It a test from Allah. to those who have lost their live may Allah Forgive them. Just stay strong and know that we are with you.🇹🇷❤🇸🇾 "
26070,"Anybody in turkey can help him? sos Idristalha, ne yazikki adiyamanda isias oteli enkazin altindakurtarilmay bekliyor... sosName : iris talhaLocation: adiyamanda isias hotelHe is still under the rubble and waiting for rescue!    "
26071,[AdminPost]Heart breaking news in Turkey &amp; Syria.Praying for Turkey &amp; Syria whose affected by devasting earthquake🙏🏻Hope our fellow friends are safe🙏🏻To everyone who want to send help you can check   For Donations  
26072,$Wing Should 2x in the coming Months 🌝Lets Gooooo                  
26073,Join us for live dua tomorrow       
26074,Everyone pray for Turkey_🌸      
26075,"Texans helping Turkey in wake of the deadly, devastating earthquake; North Texans looking for ways to send aid. Here are some ways that are emerging to lend a helping hand,  reports.     "
26076,Cute baby 🥰😍      
26077,One reason made her smile...The Faith!💔    
26078,ancient city of Antioch is in ruins... 
26079,If you can…give.     
26080,Pray For Turkey 🇹🇷      
26081,"We provide free gasoline and diesel support to all ambulances, fire engines, rescue vehicles of AFAD &amp; other organizations from Hazar Fuel Stations in      &amp;  🙏❤️‍🩹You can reach the relevant station information 👇  "
26082,"🇹🇷 Thank you for all your prayers and messages ❤ Still no word from my daughters missing family 😭😭 Things are looking more grim by the minute. Nerves wrecked, begging her not to get on a plane and fly over to her father. This waiting is horrific 😭💔   "
26083,You can't deprive me anymore!     
26084,We have to respect the sadness of the world and pray for them all🙏🏻 
26085,"Quake death toll in Turkey, Syria crosses 6,000    "
26086,"""After the devastating  in the southeast of Turkey, our emergency aid begins for children &amp; families. Every donation helps!"""
26087,Can some1 plz tell me how can I help earthquake affected ppl as volunteer? I'm a foreigner in turkey. Which organization to join as volunteer and how to help? Let me know plz.      
26088,JUST IN:  in  is about to collapse due to cracks after the  It’s the 3rd largest dam in the entire world!        
26089,Birds use Earth's magnetic field for navigation and location awareness. Disturbed behavior was observed in birds just before the massive earthquake in  and          
26090,we pakistani stand with  ... may Allah protect them all.. amin  
26091," LIVE Combined  Nears 8,000.  Sends Fourth Batch Of Medical Aid  Updates:  "
26092, streets lined with aid collection for   
26093,"The magnitude 7.5 earthquake was in Türkiye is a fact, but the ones who have been suffering the most from this natural disaster are Syrians, thought.   "
26094,THANK YOU PAKISTAN AND KOREA FOR HELPING TURKIYE IN THIS SITUATION 💞😭😭 
26095,🚨URGENT NEED!Needs equipment and special teams for ;Cette address besoin d’aidez tout de suite City: HatayDistrict: Kirikhan    
26096,Everything is like a house of cards     
26097, ( M2.7 strikes 28 km W of  ( 10 min ago. More info: 
26098,"Lots of Turks voted for you in 2018 from Sunnyside / Queens, and yet you still ignore the devastating earthquakes that hit Turkey. Thousands of lives have perished and you don’t care. That shows who you really are   .   "
26099,Sending our love and prayers to Turkey and Syria through the music of Yo-Yo Ma.❤️  🙏🏻 
26100,Thank you! 🙏   
26101,The 82-member rescue team dispatched by the Chinese government has arrived in  to assist earthquakes rescue operation.     
26102,I wish the friends of Turkey healthy and happy. 
26103,Assalamualaikum..If donations ain't reachable.. please keep praying for those affected due to the earthquake..🤲🏽💖Thank you beautiful soulsMay Allah bless you in many waysAmin⚘️    
26104,"Nifty Sq. of 9 levels (8/2/23):-🔰🟢Support Levels-17655,17589,17522,17456🔴Resistance Levels-17788,17855,17922,17989Have a profitable day.            "
26105,Videos coming out of Syria and Turkey are so heartbreaking! 😢 are we sending any aid to help them? Please look into it. Thanks! 
26106,"Merve Kuru and her daughter are still under the rubble, their voices were heard but they were waiting for help! please support please   Cebrail district Fatih street Şensöz apartment 15/3 Antakya/Hatay05333501888 Yaren Mücahitoğlu "
26107,Watch: 1.5-year-old twins &amp; their parents rescued from under the rubble almost two days after earthquake struck Turkey.    
26108,"O Allah subha talha please forgive us. We are sinners Lots of prayers for my brothers and sisters living in Turkey, labnan and Syria.  "
26109," Hey $500billion Meta! Have you sent any aid to Turkey yet? That's the country where you have 46mil WhatsApp users, 52mil Instagram users, and 66mil Facebook users from.    "
26110,😔May Allah have mercy on the people of Turkey     
26111,5 children has been rescued from the rubble.                 
26112,You can check this thread for the actual situations and the news happened in Turkey🙏🏻 
26113,I just don’t have the heart to share a video from  where a boy is dangling upside down from a building caught between concrete slabs lower body almost crushed and an elderly man from the street asking him to recite the kalma before he dies. I am shattered. 💔💔💔
26114,More preparation! More capacity development! More Disaster Management Planning! More miracle! May god bless you all !       
26115, Shame..  
26116,Breaks my heart into million pieces!!!! 💔 my thoughts and prayers are with people of Turkey and Syria !!! May you heal soon!!! ❤️ 
26117,"After 37 hours, a 5-year-old girl was rescued from the rubble in    Miracle !! 💫 "
26118,The good news is that They have been rescued and they are Free to Live.
26120,"bornosko_ ""Good luck  🙏🤍Bozdag movie set trailer generators are on the way!""Thank you so much! ❤️‍🩹    "
26121,Our prayers and thoughts are with our brothers and sisters who are facing this calamity. The people of Turkey and Syria need our urgent help.DONATE NOWBank: CBABSB: 06 2121Account Number: 1067 1088Reference: Turkey earthquake  
26122,Posts by Turkish Embassies with OFFICIAL bank accounts for donations. Please Retweet!!!       🇹🇷🇦🇿🇨🇦🇧🇷🇧🇪🇦🇷🇫🇮🇨🇿🏴󠁧󠁢󠁥󠁮󠁧󠁿🇩🇪🇨🇮🇬🇧🇨🇭🇧🇩🇦🇱🇬🇪🇫🇮🇪🇸🇮🇱🇮🇩🇮🇸🇯🇵🇰🇷🇱🇷🇵🇰
26123, a 7-year little girl continuously trying to save her younger brother since 17hrs     
26124,As we see the phenomenal destruction of the  let's read how the Indian armed forces saved the day during the deadly 2001 Kutch Earthquake.
26125,Good morning      
26126, This is why  is the soul of world... because it treats the world as a 
26127,"India sends four C-17 planeloads of relief material, equipment and personnel, weighing over 108 tons to earthquake hit  as humanitarian assistance.     "
